timestamp,fire_timestamp,kp_mult,ki_mult,kd_mult,kp_actual,ki_actual,kd_actual,pulse_seconds,avg_error_at_fire,waterings_today,threshold_prob
2026-04-18 20:45:41,2026-04-18 20:45:41,1.0,1.0,1.0,0.009,0.0015,0.0,2.79,0.4534,0,0.75
2026-04-20 01:21:17,2026-04-20 01:21:17,0.996,0.996,0.996,0.009,0.0015,0.0,2.76,1.8616,0,0.749
2026-04-21 05:47:32,2026-04-21 05:47:32,1.0,1.0,1.0,0.009,0.0015,0.0,2.85,1.4077,0,0.75
2026-04-22 15:04:12,2026-04-22 15:04:12,1.0,1.0,1.0,0.009,0.0015,0.0,2.92,-1.2843,0,0.766
2026-04-25 18:50:20,2026-04-25 18:50:20,0.939,0.939,0.939,0.0084,0.0014,0.0,3.57,-6.7875,0,0.792
2026-04-25 20:50:31,2026-04-25 20:50:31,0.939,0.939,0.939,0.0084,0.0014,0.0,3.41,-5.3167,1,0.792
2026-04-25 22:50:40,2026-04-25 22:50:40,0.939,0.939,0.939,0.0084,0.0014,0.0,3.36,-4.9082,2,0.792
2026-04-26 00:50:50,2026-04-26 00:50:50,0.938,0.938,0.938,0.0084,0.0014,0.0,3.25,-4.5713,0,0.792
2026-04-26 02:50:59,2026-04-26 02:50:59,0.939,0.939,0.939,0.0084,0.0014,0.0,3.45,-5.0293,1,0.792
2026-04-26 04:51:08,2026-04-26 04:51:08,0.939,0.939,0.939,0.0085,0.0014,0.0,3.44,-5.0376,2,0.792
2026-04-26 06:51:16,2026-04-26 06:51:16,0.939,0.939,0.939,0.0085,0.0014,0.0,3.46,-5.2609,3,0.792
2026-04-26 08:51:25,2026-04-26 08:51:25,0.939,0.939,0.939,0.0085,0.0014,0.0,3.21,-4.1859,4,0.792
2026-04-29 16:40:09,2026-04-29 16:40:03,1.33,1.33,1.33,0.012,0.002,0.0,3.86,-1.2032,0,0.036
2026-04-29 18:40:18,2026-04-29 18:40:13,1.33,1.33,1.33,0.012,0.002,0.0,3.8,-0.2346,1,0.036
2026-04-29 21:15:22,2026-04-29 21:15:17,1.33,1.33,1.33,0.012,0.002,0.0,3.77,0.1065,2,0.036
2026-04-30 15:38:08,2026-04-30 15:38:02,1.33,1.33,1.33,0.012,0.002,0.0,3.76,0.3073,0,0.036
