timestamp,fire_timestamp,rmse_24hr,mean_error_24hr,threshold_target_prob,threshold_loss,gain_target_mult,gain_loss
2026-04-19 20:45:47,2026-04-18 20:45:41,2.4892,2.036,0.0,1.3863,0.91,0.0082
2026-04-23 15:04:24,2026-04-22 15:04:12,1.9961,1.662,1.0,20.1856,0.359,0.4113
2026-04-26 12:50:53,IDLE,5.6499,0.0,0.0,1.5686,0.0,0.0
2026-04-26 16:50:17,IDLE,5.7084,0.0,0.0,1.445,0.0,0.0
2026-04-26 18:50:23,2026-04-25 18:50:20,5.2274,-5.1346,1.0,0.3081,2.0,1.261
2026-04-26 20:49:41,IDLE,6.0265,0.0,0.0,0.7795,0.0,0.0
2026-04-26 20:50:41,2026-04-25 20:50:31,5.2844,-5.1924,1.0,0.2574,2.0,0.8561
2026-04-26 22:50:46,2026-04-25 22:50:40,5.2633,-4.4124,1.0,0.2414,2.0,0.5107
2026-04-27 00:49:03,IDLE,5.486,0.0,0.0,0.7748,0.0,0.0
2026-04-27 00:51:03,2026-04-26 00:50:50,5.3225,-3.6099,1.0,0.2038,2.0,0.284
2026-04-27 02:47:20,IDLE,5.8136,0.0,0.0,0.7785,0.0,0.0
2026-04-28 08:18:03,IDLE,3.1664,2.8636,0.0,0.0115,0.0,0.0
2026-04-28 12:17:26,IDLE,2.7676,2.5211,0.0,0.0121,0.0,0.0
2026-04-28 16:16:50,IDLE,2.2516,2.1142,0.0,0.0053,0.0,0.0
2026-04-28 20:16:16,IDLE,1.8615,1.7725,0.0,0.0016,0.0,0.0
2026-04-30 16:40:12,2026-04-29 16:40:03,0.7203,0.2473,1.0,1.7193,1.561,0.0098
2026-04-30 18:40:18,2026-04-29 18:40:13,0.6741,0.2335,1.0,0.9228,1.566,0.0299
